epoch,ROC,PR,ACC,SPE,SEN,PPV,NPV,F1
99.0000,0.8374,0.7989,0.7473,0.8462,0.6220,0.7612,0.7395,0.6846
98.0000,0.8155,0.7647,0.6774,0.4808,0.9268,0.5846,0.8929,0.7170
97.0000,0.8473,0.7725,0.7581,0.6923,0.8415,0.6832,0.8471,0.7541
96.0000,0.8287,0.7794,0.7581,0.8077,0.6951,0.7403,0.7706,0.7170
95.0000,0.8354,0.7995,0.7527,0.7404,0.7683,0.7000,0.8021,0.7326
94.0000,0.8225,0.7920,0.7581,0.7981,0.7073,0.7342,0.7757,0.7205
93.0000,0.8383,0.7921,0.7366,0.6250,0.8780,0.6486,0.8667,0.7461
92.0000,0.8265,0.7978,0.7527,0.7885,0.7073,0.7250,0.7736,0.7160
91.0000,0.8175,0.7826,0.7258,0.7500,0.6951,0.6867,0.7573,0.6909
90.0000,0.8540,0.8188,0.7473,0.6731,0.8415,0.6699,0.8434,0.7459
89.0000,0.8623,0.8253,0.7473,0.7981,0.6829,0.7273,0.7615,0.7044
88.0000,0.8635,0.8114,0.7634,0.6250,0.9390,0.6638,0.9286,0.7778
87.0000,0.8154,0.7459,0.7634,0.7115,0.8293,0.6939,0.8409,0.7556
86.0000,0.8357,0.7910,0.7527,0.8173,0.6707,0.7432,0.7589,0.7051
85.0000,0.8303,0.7888,0.7527,0.8462,0.6341,0.7647,0.7458,0.6933
84.0000,0.8247,0.7860,0.7204,0.7692,0.6585,0.6923,0.7407,0.6750
83.0000,0.8489,0.8224,0.7366,0.7019,0.7805,0.6737,0.8022,0.7232
82.0000,0.8410,0.8059,0.7796,0.7885,0.7683,0.7412,0.8119,0.7545
81.0000,0.8119,0.7796,0.7151,0.8462,0.5488,0.7377,0.7040,0.6294
80.0000,0.8103,0.7527,0.7312,0.7596,0.6951,0.6951,0.7596,0.6951
79.0000,0.8455,0.8063,0.7849,0.7981,0.7683,0.7500,0.8137,0.7590
78.0000,0.8017,0.7512,0.7366,0.7596,0.7073,0.6988,0.7670,0.7030
77.0000,0.8338,0.7745,0.7527,0.7212,0.7927,0.6915,0.8152,0.7386
76.0000,0.8391,0.7900,0.7634,0.7981,0.7195,0.7375,0.7830,0.7284
75.0000,0.8266,0.7690,0.7688,0.7692,0.7683,0.7241,0.8081,0.7456
74.0000,0.8256,0.7566,0.7312,0.8173,0.6220,0.7286,0.7328,0.6711
73.0000,0.8246,0.7636,0.7634,0.6635,0.8902,0.6759,0.8846,0.7684
72.0000,0.8313,0.7454,0.7634,0.8173,0.6951,0.7500,0.7727,0.7215
71.0000,0.8382,0.8018,0.7527,0.7500,0.7561,0.7045,0.7959,0.7294
70.0000,0.8089,0.7707,0.7204,0.7788,0.6463,0.6974,0.7364,0.6709
69.0000,0.7914,0.7218,0.7043,0.6346,0.7927,0.6311,0.7952,0.7027
68.0000,0.7631,0.7131,0.6720,0.5673,0.8049,0.5946,0.7867,0.6839
67.0000,0.7709,0.7035,0.6774,0.7885,0.5366,0.6667,0.6833,0.5946
66.0000,0.7896,0.7094,0.7419,0.6923,0.8049,0.6735,0.8182,0.7333
65.0000,0.7801,0.6954,0.7043,0.6923,0.7195,0.6484,0.7579,0.6821
64.0000,0.8337,0.7845,0.7634,0.7596,0.7683,0.7159,0.8061,0.7412
63.0000,0.8333,0.8086,0.7097,0.6058,0.8415,0.6273,0.8289,0.7188
62.0000,0.8105,0.7863,0.7097,0.6250,0.8171,0.6321,0.8125,0.7128
61.0000,0.8266,0.7880,0.7419,0.7788,0.6951,0.7125,0.7642,0.7037
60.0000,0.7940,0.7535,0.7097,0.7885,0.6098,0.6944,0.7193,0.6494
59.0000,0.8345,0.7946,0.7366,0.7019,0.7805,0.6737,0.8022,0.7232
58.0000,0.8066,0.7692,0.7097,0.7115,0.7073,0.6591,0.7551,0.6824
57.0000,0.8175,0.7835,0.7151,0.7308,0.6951,0.6706,0.7525,0.6826
56.0000,0.7943,0.7649,0.6774,0.7212,0.6220,0.6375,0.7075,0.6296
55.0000,0.7969,0.7683,0.7043,0.8365,0.5366,0.7213,0.6960,0.6154
54.0000,0.7846,0.7181,0.6828,0.8173,0.5122,0.6885,0.6800,0.5874
53.0000,0.8195,0.7744,0.7043,0.5769,0.8659,0.6174,0.8451,0.7208
52.0000,0.7909,0.7381,0.6828,0.8846,0.4268,0.7447,0.6619,0.5426
51.0000,0.8191,0.7646,0.7204,0.6731,0.7805,0.6531,0.7955,0.7111
50.0000,0.8083,0.7671,0.6935,0.9615,0.3537,0.8788,0.6536,0.5043
49.0000,0.8245,0.7716,0.7258,0.6058,0.8780,0.6372,0.8630,0.7385
48.0000,0.8095,0.7572,0.7204,0.7596,0.6707,0.6875,0.7453,0.6790
47.0000,0.7947,0.7509,0.6935,0.6923,0.6951,0.6404,0.7423,0.6667
46.0000,0.8113,0.7577,0.7473,0.7212,0.7805,0.6882,0.8065,0.7314
45.0000,0.7862,0.7301,0.6935,0.6058,0.8049,0.6168,0.7975,0.6984
44.0000,0.8154,0.7489,0.7688,0.8269,0.6951,0.7600,0.7748,0.7261
43.0000,0.7875,0.7276,0.7151,0.7019,0.7317,0.6593,0.7684,0.6936
42.0000,0.7834,0.7160,0.6774,0.5577,0.8293,0.5965,0.8056,0.6939
41.0000,0.8011,0.7370,0.7312,0.7981,0.6463,0.7162,0.7411,0.6795
40.0000,0.7706,0.6735,0.6720,0.5865,0.7805,0.5981,0.7722,0.6772
39.0000,0.7939,0.7238,0.6667,0.5288,0.8415,0.5847,0.8088,0.6900
38.0000,0.7934,0.7415,0.7151,0.7596,0.6585,0.6835,0.7383,0.6708
37.0000,0.8057,0.7330,0.7473,0.8654,0.5976,0.7778,0.7317,0.6759
36.0000,0.8287,0.7684,0.7258,0.6827,0.7805,0.6598,0.7978,0.7151
35.0000,0.8272,0.7796,0.7366,0.7596,0.7073,0.6988,0.7670,0.7030
34.0000,0.8127,0.7422,0.7312,0.8654,0.5610,0.7667,0.7143,0.6479
33.0000,0.7814,0.6916,0.6290,0.3654,0.9634,0.5448,0.9268,0.6960
32.0000,0.8117,0.7230,0.7043,0.6250,0.8049,0.6286,0.8025,0.7059
31.0000,0.8131,0.7693,0.7366,0.6923,0.7927,0.6701,0.8090,0.7263
30.0000,0.7981,0.7055,0.7097,0.6442,0.7927,0.6373,0.7976,0.7065
29.0000,0.8144,0.7329,0.7581,0.7115,0.8171,0.6907,0.8315,0.7486
28.0000,0.8059,0.7523,0.7366,0.6827,0.8049,0.6667,0.8161,0.7293
27.0000,0.7737,0.7271,0.7097,0.6250,0.8171,0.6321,0.8125,0.7128
26.0000,0.8065,0.7625,0.7151,0.7404,0.6829,0.6747,0.7476,0.6788
25.0000,0.7974,0.7648,0.6828,0.9231,0.3780,0.7949,0.6531,0.5124
24.0000,0.7692,0.7042,0.6882,0.7788,0.5732,0.6714,0.6983,0.6184
23.0000,0.7872,0.7205,0.7312,0.7885,0.6585,0.7105,0.7455,0.6835
22.0000,0.7944,0.7438,0.7312,0.6827,0.7927,0.6633,0.8068,0.7222
21.0000,0.7846,0.7213,0.6667,0.4712,0.9146,0.5769,0.8750,0.7075
20.0000,0.7576,0.6919,0.6613,0.7404,0.5610,0.6301,0.6814,0.5935
19.0000,0.7833,0.7120,0.7258,0.6731,0.7927,0.6566,0.8046,0.7182
18.0000,0.7541,0.6774,0.6505,0.8846,0.3537,0.7073,0.6345,0.4715
17.0000,0.7868,0.7462,0.7151,0.8269,0.5732,0.7231,0.7107,0.6395
16.0000,0.7939,0.7518,0.6882,0.5192,0.9024,0.5968,0.8710,0.7184
15.0000,0.7706,0.6954,0.6828,0.5577,0.8415,0.6000,0.8169,0.7005
14.0000,0.7880,0.7429,0.7097,0.7019,0.7195,0.6556,0.7604,0.6860
13.0000,0.7787,0.7560,0.6935,0.7692,0.5976,0.6712,0.7080,0.6323
12.0000,0.7878,0.7273,0.6935,0.8558,0.4878,0.7273,0.6794,0.5839
11.0000,0.7362,0.6692,0.6667,0.7885,0.5122,0.6562,0.6721,0.5753
10.0000,0.7598,0.7058,0.6935,0.8942,0.4390,0.7660,0.6691,0.5581
9.0000,0.7576,0.7034,0.7043,0.7500,0.6463,0.6709,0.7290,0.6584
8.0000,0.7726,0.7267,0.7097,0.6827,0.7439,0.6489,0.7717,0.6932
7.0000,0.7473,0.7034,0.5860,0.3365,0.9024,0.5175,0.8140,0.6578
6.0000,0.7454,0.7044,0.6452,0.8846,0.3415,0.7000,0.6301,0.4590
5.0000,0.7444,0.6823,0.6774,0.7500,0.5854,0.6486,0.6964,0.6154
4.0000,0.6936,0.6593,0.6613,0.9423,0.3049,0.8065,0.6323,0.4425
3.0000,0.7446,0.6805,0.6774,0.8365,0.4756,0.6964,0.6692,0.5652
2.0000,0.7257,0.6845,0.6559,0.9038,0.3415,0.7368,0.6351,0.4667
1.0000,0.7431,0.6810,0.6237,0.9327,0.2317,0.7308,0.6062,0.3519
0.0000,0.6615,0.5667,0.5753,0.8750,0.1951,0.5517,0.5796,0.2883
